KPGZ,with_KPGZ,count
01.02.11.01.07.02.02.01,01.02.10.06.12.10,6
01.02.11.01.07.02.02.01,01.02.10.06.51.01,4
01.02.11.01.07.02.02.01,01.02.11.04.13.02,8
01.02.11.01.07.02.02.01,01.02.11.01.03.11,1
01.02.11.01.07.02.02.01,01.02.11.04.07.01.01,2
01.02.11.01.07.02.02.01,01.02.11.03.18.05,6
01.02.10.06.12.10,01.02.10.06.51.01,1
01.02.10.06.12.10,01.02.11.04.13.02,7
01.02.10.06.12.10,01.02.11.01.03.11,1
01.02.10.06.12.10,01.02.11.04.07.01.01,1
01.02.10.06.51.01,01.02.11.04.13.02,2
01.02.10.06.51.01,01.02.11.01.03.11,1
01.13.09.04.03.05,01.13.09.04.03.05,10
01.11.03.01.02.02.02.01,01.11.03.01.02.02.01.09,2
01.02.11.04.09.02,01.02.11.01.04.01,1
01.13.04.02.02.05,01.13.09.06.10,2
01.13.04.02.02.05,01.13.09.06.11,3
01.13.04.04.01,01.13.09.06.10,4
01.13.04.04.01,01.13.09.06.11,2
01.13.09.06.10,01.13.04.04.03,2
01.13.09.06.10,01.13.04.01.01.06,1
01.13.09.06.10,01.13.09.06.10,1
01.13.09.06.10,01.13.04.04.06.01,1
01.13.09.06.10,01.13.11.03.05.06,1
01.13.09.06.10,01.13.01.01.06,1
01.13.04.04.03,01.13.09.06.10,2
01.13.04.01.01.06,01.13.09.06.10,1
01.13.07.05.01.02,01.13.04.02.02.05,4
01.13.04.04.01,01.13.06.09,4
01.13.05.01,01.13.04.01.01.06,6
01.13.05.01,01.13.06.09,3
01.13.05.01,01.13.04.02.02.05,1
01.13.04.01.01.06,01.13.06.09,4
01.01.01.19.01.04,01.01.11.03.01.01,5
01.01.02.34,01.01.01.19.01.07,2
01.01.01.19.01.07,01.01.11.06.02.03,2
01.01.01.01.16,01.01.09.01.01,4
01.01.01.01.16,01.01.02.08,1
01.01.01.01.16,01.01.11.06.02.03,3
01.01.01.01.16,01.01.03.25.01.01,6
01.01.01.01.16,01.01.03.01,1
01.01.01.01.16,01.01.01.06.03,6
01.01.02.08,01.01.11.06.02.03,14
01.01.11.06.02.03,01.01.03.25.01.01,2
01.01.11.06.02.03,01.01.07.02.06,2
01.02.09.03.04,01.02.09.01.07,9
01.11.09.01,01.11.03.09.02.09,4
01.11.09.01,01.11.07.07,4
01.15.05.01.07,01.15.04.01.09,4
01.15.05.01.07,01.15.05.03.02,4
01.15.05.01.07,01.15.05.07.04,1
01.15.05.01.07,01.15.06.07,7
01.15.05.01.07,01.15.01.01.01.01,5
01.15.05.01.07,01.15.05.01.05.01.01,1
01.15.05.01.07,01.15.02.06.01,1
01.15.04.01.09,01.15.05.03.02,20
01.15.04.01.09,01.15.05.07.04,2
01.15.04.01.09,01.15.05.01.05.01.01,3
01.15.05.01.05.01.04,01.15.05.07.04,1
01.15.05.01.05.01.04,01.15.05.01.05.01.01,2
01.15.05.03.02,01.15.05.07.04,1
01.15.05.07.04,01.15.01.07,2
01.15.05.07.04,01.15.06.07,2
01.07.05.05,01.07.05.09.01,17
01.02.10.12.02.01,01.02.10.12.08.09.01,1
01.02.10.12.02.01,01.02.10.12.04.05,1
01.02.10.12.02.01,01.02.10.12.03,1
01.02.10.12.08.09.01,01.02.10.12.04.05,1
01.10.04.03.07,01.10.01.01.03.02,2
01.13.13.01.01,01.13.13.03,4
01.02.10.44.30.01,01.02.10.50.20,1
01.02.10.44.30.01,01.02.10.13.14.01,9
01.11.06.02.01.03,01.11.03.13,10
01.24.99.08,01.24.04.05.01,4
01.24.99.08,01.24.04.04,2
01.24.99.08,01.24.04.03.01,3
01.20.04.02.13,01.20.05.03.04.03,1
01.20.04.02.13,01.20.05.01.10,5
01.20.04.06.02.01,01.20.05.03.04.03,1
01.20.04.09.04,01.20.05.03.04.03,2
01.20.04.02.10,01.20.05.03.04.03,1
01.20.04.09.01,01.20.05.03.04.03,1
01.20.05.03.04.03,01.20.04.06.01.02,6
01.20.05.03.04.03,01.20.04.02.12,7
01.20.05.03.04.03,01.20.04.03,3
01.20.05.03.04.03,01.20.04.06.01.01,1
01.02.10.33.03,01.02.10.55.02.01,8
01.02.10.33.03,01.02.11.01.14.36,22
01.02.10.55.01,01.02.10.33.02,1
01.02.10.55.01,01.02.10.30.03,1
01.02.10.33.02,01.02.10.55.02.01,1
01.02.10.55.02.01,01.02.10.33.03,4
01.02.10.55.02.01,01.02.10.30.03,1
01.10.03.01,01.10.04.03.07,5
01.20.07.06,01.20.03.04.01.02,7
01.15.06.06,01.15.05.04.09.01,2
01.15.06.06,01.15.05.01.05.01.04,8
01.15.06.06,01.15.05.02.06.01.06,3
01.15.06.06,01.15.05.03.02,2
01.02.10.43.02.03.05,01.02.10.43.513.02,1
01.02.10.43.02.03.05,01.02.10.43.259.01.15,1
01.02.10.43.02.03.05,01.02.10.43.514.01,1
01.02.10.43.02.03.05,01.02.10.43.02.03.07,3
01.02.10.43.02.03.05,01.02.10.43.02.03.02,1
01.02.10.43.02.03.05,01.02.10.43.02.03.05,4
01.02.10.43.02.03.05,01.02.10.43.02.02.10,1
01.02.10.43.513.02,01.02.10.43.259.01.15,1
01.02.10.43.513.02,01.02.10.43.514.01,1
01.02.10.43.513.02,01.02.10.43.02.03.07,3
01.02.10.43.513.02,01.02.10.43.02.03.02,1
01.02.10.43.513.02,01.02.10.43.02.03.05,1
01.02.10.43.259.01.15,01.02.10.43.514.01,1
01.02.10.43.259.01.15,01.02.10.43.02.03.07,3
01.02.10.43.259.01.15,01.02.10.43.02.03.02,1
01.02.10.43.514.01,01.02.10.43.02.03.07,2
01.02.10.43.514.01,01.02.10.43.02.03.02,1
01.02.10.43.02.03.07,01.02.10.43.02.03.02,1
01.15.04.07,01.15.05.01.07,19
01.15.01.01.01.03,01.15.05.04.07.01,5
01.15.05.01.07,01.15.05.16.02,4
01.15.05.01.07,01.15.05.04.05.01,17
01.15.05.01.07,01.15.05.04.03.04,8
01.15.05.16.02,01.15.05.08,11
03.08.01.01.05.03,03.08.01.01.01.07,2
03.08.01.01.05.03,03.08.01.01.05.03,1
03.08.01.01.01.07,03.08.01.01.05.03,1
03.01.99.01.06,03.01.99.01.07,1
01.02.09.01.06,01.02.09.04.08,20
01.02.09.01.06,01.02.09.03.01,11
01.02.09.01.06,01.02.09.09.01,12
01.02.09.01.06,01.02.09.12.03,14
01.02.09.01.06,01.02.09.01.06,3
01.02.09.01.06,01.02.09.01.09,5
01.02.09.01.06,01.02.09.07.05,4
01.02.09.01.06,01.02.09.04.03,4
01.02.09.01.06,01.02.09.04.06,4
01.02.09.01.06,01.02.09.13.01,20
01.02.09.01.06,01.02.09.12.02,4
01.02.09.01.06,01.02.09.04.04,2
01.02.09.04.03,01.02.09.12.03,5
03.12.07.01,03.12.05.03,1
01.11.01.01.02,01.11.01.03.11.99,1
01.11.01.01.02,01.11.06.04.01,25
01.11.03.01.02.02.99,01.11.03.01.02.02.01.12,10
01.15.05.16.02,01.15.01.02.08,1
01.13.13.01.04,01.13.14.05,8
01.16.31.06.01,01.16.31.03,14
01.16.31.05,01.16.31.03,15
01.02.11.01.07.04.03,01.02.10.55.06,9
01.02.10.33.12.08.02,01.02.10.33.03,13
01.02.10.33.12.08.02,01.02.10.22.05,1
01.02.10.33.12.08.02,01.02.10.33.02,1
01.02.10.33.12.08.02,01.02.10.13.11,1
01.02.10.33.12.08.02,01.02.10.55.01,1
01.02.10.33.12.08.02,01.02.10.33.12.28.03,1
01.02.10.33.12.08.02,01.02.10.02.09,1
01.02.10.33.03,01.02.10.13.11,1
01.02.10.33.03,01.02.10.33.12.28.03,13
01.02.10.22.05,01.02.10.13.11,1
01.02.10.22.05,01.02.10.55.01,1
01.02.10.22.05,01.02.10.33.12.28.03,1
01.02.10.22.05,01.02.10.02.09,1
01.02.10.33.02,01.02.10.13.11,1
01.02.10.33.02,01.02.10.33.12.28.03,2
01.02.10.13.11,01.02.10.33.03,9
01.02.10.13.11,01.02.10.33.12.28.03,1
01.02.10.55.01,01.02.10.33.12.28.03,1
01.11.03.01.02.02.01.14,01.11.03.01.02.02.01.02,4
01.11.03.01.02.02.01.02,01.11.03.01.02.02.01.14,7
01.02.11.01.12.03.14,01.02.10.43.21.01,1
01.07.11.99,01.07.07.03,3
01.07.11.99,01.07.07.04,11
01.20.01.02,01.20.02.02,1
01.16.03.02,01.16.28.01,2
01.20.10.99,01.20.06.01.04,2
01.20.10.99,01.20.06.01.01.01,3
01.20.10.99,01.20.06.01.01.05,1
01.20.06.01.04,01.20.07.11.03.01.01,2
01.20.06.01.04,01.20.06.04.02,4
01.20.06.01.01.01,01.20.07.11.03.01.01,13
01.15.05.02.02,01.15.05.02.02,7
01.15.05.02.02,01.15.05.16.01,8
01.20.05.03.02,01.20.05.03.07.04.02,5
01.11.02.09.01.01.02,01.11.03.12.02,23
01.11.02.09.01.01.02,01.11.02.01.11.02,11
01.11.02.09.06,01.11.02.10.03.01,14
01.11.02.09.06,01.11.02.01.08.03,10
01.11.02.09.06,01.11.03.12.02,2
01.11.02.09.06,01.11.02.01.11.02,6
01.11.02.10.03.01,01.11.02.02.03.14,2
01.11.02.09.01.02,01.11.02.01.11.02,2
01.11.02.01.08.03,01.11.03.12.02,3
01.11.02.09.03,01.11.02.01.01,10
01.11.02.09.03,01.11.03.12.02,8
01.11.02.09.03,01.11.02.01.11.02,2
01.11.02.09.03,01.11.02.01.04,7
01.11.02.09.03,01.11.01.07.01.09,1
01.11.02.09.04,01.11.02.01.11.02,11
01.02.09.01.01,01.02.10.50.19,2
01.11.01.03.14,01.11.01.01.02,6
01.15.05.16.02,01.15.05.02.06.01.01,7
01.04.04.11,01.04.01.08.01,1
01.13.11.03.05.02,01.13.15.99,1
01.01.01.19.06,01.01.01.01.10,4
01.01.01.19.06,01.01.10.02.01,16
01.01.01.19.06,01.01.02.04,6
01.01.01.19.06,01.01.02.13,1
01.01.01.19.06,01.01.10.05.04,6
01.01.01.19.06,01.01.01.11,30
01.01.01.19.06,01.01.10.06.01,2
01.01.01.19.06,01.01.01.06.12.01,11
01.01.01.19.06,01.01.01.12.04.01,10
01.01.01.19.06,01.01.08.03.01.04.02,11
01.01.01.19.06,01.01.02.01.01.01,4
01.01.01.19.06,01.01.03.06,8
01.01.01.19.06,01.01.02.10,2
01.01.01.19.06,01.01.02.06.01,6
01.01.01.19.06,01.01.01.01.05,12
01.01.01.19.06,01.01.02.05,5
01.01.01.19.06,01.01.02.03,5
01.01.01.19.06,01.01.03.01,4
01.01.01.19.06,01.01.02.02.03,5
01.01.01.19.06,01.01.02.11,3
01.01.01.19.06,01.01.02.12,7
01.01.01.19.06,01.01.06.01.10,16
01.01.01.19.06,01.01.01.06.03,9
01.01.01.19.06,01.01.10.06.04,10
01.01.01.19.06,01.01.11.04.01,4
01.01.01.19.06,01.01.02.35.06,8
01.01.01.19.01.04,01.01.02.13,3
01.01.01.19.01.04,01.01.10.06.01,4
01.01.01.19.01.04,01.01.11.04.01,7
01.01.10.01.01,01.01.02.13,2
01.01.10.01.01,01.01.10.06.01,13
01.01.10.01.01,01.01.11.04.01,3
01.01.01.01.10,01.01.10.02.01,3
01.01.01.01.10,01.01.02.13,1
01.01.01.01.10,01.01.10.06.01,2
01.01.01.01.10,01.01.02.05,7
01.01.01.01.10,01.01.03.01,9
01.01.01.01.10,01.01.02.34,12
01.01.01.01.10,01.01.11.04.01,3
01.01.10.02.01,01.01.02.13,18
01.01.10.02.01,01.01.10.06.01,38
01.01.02.04,01.01.10.05.04,18
01.01.02.04,01.01.10.06.01,2
01.01.02.04,01.01.01.06.12.01,11
01.01.02.04,01.01.01.01.05,8
01.01.02.04,01.01.02.05,11
01.01.02.04,01.01.09.01.01,7
01.01.02.04,01.01.06.01.10,8
01.01.02.13,01.01.10.05.04,15
01.01.02.13,01.01.01.11,14
01.01.02.13,01.01.10.06.01,4
01.01.02.13,01.01.01.06.12.01,8
01.01.02.13,01.01.01.12.04.01,15
01.01.02.13,01.01.08.03.01.04.02,8
01.01.02.13,01.01.01.01.05,8
01.01.02.13,01.01.09.01.01,10
01.01.02.13,01.01.06.01.10,4
01.01.10.05.04,01.01.01.11,11
01.01.10.05.04,01.01.10.06.01,6
01.01.10.05.04,01.01.01.06.12.01,6
01.01.10.05.04,01.01.08.03.01.04.02,4
01.01.10.05.04,01.01.02.01.01.01,5
01.01.10.05.04,01.01.02.10,4
01.01.10.05.04,01.01.02.06.01,6
01.01.10.05.04,01.01.02.05,4
01.01.10.05.04,01.01.09.01.01,7
01.01.10.05.04,01.01.03.01,6
01.01.10.05.04,01.01.02.34,15
01.01.10.05.04,01.01.02.11,1
01.01.10.05.04,01.01.02.08,4
01.01.10.05.04,01.01.02.12,9
01.01.01.11,01.01.10.06.01,9
01.01.01.11,01.01.02.34,41
01.01.10.06.01,01.01.01.06.12.01,2
01.01.10.06.01,01.01.01.12.04.01,6
01.01.10.06.01,01.01.08.03.01.04.02,1
01.01.10.06.01,01.01.02.01.01.01,1
01.01.10.06.01,01.01.02.10,4
01.01.10.06.01,01.01.01.01.05,1
01.01.10.06.01,01.01.02.05,1
01.01.10.06.01,01.01.09.01.01,2
01.01.10.06.01,01.01.03.01,9
01.01.10.06.01,01.01.02.02.03,4
01.01.10.06.01,01.01.02.34,14
01.01.01.06.12.01,01.01.03.06,8
01.01.01.06.12.01,01.01.02.10,3
01.01.01.06.12.01,01.01.01.01.05,2
01.01.01.06.12.01,01.01.02.05,4
01.01.01.06.12.01,01.01.02.03,6
01.01.01.06.12.01,01.01.09.01.01,5
01.01.01.06.12.01,01.01.03.01,5
01.01.01.06.12.01,01.01.02.02.03,11
01.01.01.06.12.01,01.01.02.34,21
01.01.01.12.04.01,01.01.02.10,4
01.01.01.12.04.01,01.01.03.01,7
01.01.02.01.01.01,01.01.09.01.01,33
01.01.03.06,01.01.02.10,8
01.01.03.06,01.01.02.06.01,15
01.01.03.06,01.01.01.01.05,8
01.01.02.10,01.01.01.01.05,15
01.15.01.01.01.03,01.15.04.01.08,1
01.15.05.10,01.15.04.01.08,2
01.02.10.43.05.02,01.02.10.53.02.01,1
01.11.08.01.01,01.11.03.01.01.99,13
01.11.08.01.01,01.11.04.99,4
01.11.08.01.01,01.11.04.05.99,1
01.11.08.01.01,01.11.06.99,3
01.11.08.01.01,01.11.01.03.11.99,1
01.11.08.01.01,01.11.04.03.02.05.07,7
01.11.08.01.01,01.11.04.03.02.05.04.02,2
01.11.08.01.01,01.11.04.03.02.14,1
01.11.03.01.01.99,01.11.04.03.02.05.04.02,9
01.11.04.99,01.11.04.03.02.05.04.02,2
01.11.04.05.99,01.11.06.99,19
01.11.04.05.99,01.11.01.03.11.99,4
01.11.04.05.99,01.11.04.03.02.05.04.02,2
01.11.04.05.99,01.11.04.03.02.14,4
01.11.03.04.03.01,01.11.01.07.02.03,1
01.20.05.03.04.02,01.20.10.01,3
01.20.04.04.02,01.20.10.01,6
01.20.04.01.10,01.20.10.01,6
01.20.04.02.12,01.20.10.01,3
01.20.05.03.04.01,01.20.10.01,3
01.20.04.02.13,01.20.10.01,3
01.15.05.03.04.06,01.15.01.01.01.01,8
01.15.05.03.04.06,01.15.03.11,4
01.15.01.01.01.01,01.15.07.04,3
01.15.07.04,01.15.02.02.01,9
01.15.07.04,01.15.03.11,1
01.11.02.02.03.13,01.11.02.01.03,18
01.26.02.04.01.30,01.26.02.04.01.30,1
01.02.10.42.18,01.02.10.12.13.01,1
01.02.10.42.18,01.02.10.10.02.10,2
01.02.10.42.18,01.02.10.32.08.13,1
01.02.10.42.18,01.02.10.55.02.02,2
01.02.10.42.18,01.02.10.22.15,1
01.02.10.12.13.01,01.02.10.55.02.02,2
01.02.10.10.02.10,01.02.10.32.08.13,3
01.02.10.10.02.10,01.02.10.55.02.02,1
01.02.10.32.08.13,01.02.10.55.02.02,1
01.14.04.99,01.14.01.01,1
01.15.04.03.04,01.15.01.06.03,4
01.15.05.04.07.02,01.15.01.06.03,4
01.15.05.04.02,01.15.01.06.03,5
01.15.04.03.03,01.15.05.01.05.01.01,10
01.15.04.03.03,01.15.03.15.01,6
01.15.04.03.03,01.15.01.06.03,1
01.15.02.05.03,01.15.03.15.01,7
01.20.04.01.05,01.20.03.04.06,16
01.20.04.04.02,01.20.03.04.06,2
01.20.04.04.02,01.20.03.04.02.01,3
01.19.01.08,01.19.01.09,2
01.19.01.08,01.19.01.06.02,2
01.19.01.08,01.19.01.07.02,1
01.19.01.08,01.19.01.07.01,1
01.19.01.08,01.19.10.01,3
01.19.01.08,01.19.01.08,3
01.19.01.08,01.19.09.01,1
01.19.01.08,01.19.06.99,1
01.19.01.09,01.19.01.09,1
01.19.01.09,01.19.01.06.02,4
01.19.01.09,01.19.01.07.02,2
01.19.01.09,01.19.01.07.01,2
01.19.01.09,01.19.10.01,6
01.19.01.09,01.19.01.08,3
01.19.01.09,01.19.09.01,1
01.19.01.06.02,01.19.01.07.02,1
01.19.01.06.02,01.19.01.06.02,1
01.19.01.06.02,01.19.01.07.01,2
01.19.01.06.02,01.19.10.01,4
01.19.01.07.02,01.19.01.06.02,1
01.19.01.07.02,01.19.01.07.01,1
01.19.01.07.02,01.19.10.01,2
02.17.04.99,02.17.04.03,2
01.11.01.04.05.01,01.11.03.11.05,10
01.11.07.08,01.11.09.03.01,29
01.15.01.06.99,01.15.01.06.06,17
01.20.03.04.04.02.01,01.20.03.04.04.02.02,14
01.20.03.04.01.02,01.20.03.04.04.02.02,2
01.20.07.11.09,01.20.09.03,40
01.11.03.09.02.09,01.11.05.04.01,3
01.11.03.13,01.11.04.03.02.14,4
01.11.03.13,01.11.06.02.01.03,6
01.11.05.04.01,01.11.03.01.99,6
01.11.05.04.01,01.11.04.03.02.05.07,2
01.11.05.04.01,01.11.03.09.02.09,1
01.11.05.04.01,01.11.03.13,2
01.11.05.04.01,01.11.03.09.01.01,1
01.11.05.04.01,01.11.04.03.02.14,1
01.11.05.04.01,01.11.05.04.01,1
01.11.06.04.01,01.11.01.03.14,2
01.11.06.04.02,01.11.01.03.14,1
01.11.03.09.02.09,01.11.06.05,3
01.11.06.05,01.11.06.04.02,3
01.11.06.05,01.11.06.04.01,1
01.11.06.05,01.11.01.04.11,3
01.11.06.05,01.11.03.01.02.02.99,3
01.08.01.32.99,01.08.01.20.06,2
01.08.01.32.99,01.08.01.01.02.01,2
01.08.01.40,01.08.01.20.06,3
01.08.01.40,01.08.01.01.02.01,12
01.08.01.22.04.01,01.08.01.20.06,2
01.08.01.22.04.01,01.08.01.01.02.01,3
01.08.01.22.04.01,01.08.01.09.16,2
01.08.01.01.10.99,01.08.01.20.06,2
01.08.01.01.10.99,01.08.01.01.02.01,2
01.08.01.14.03.01,01.08.01.20.06,1
01.08.01.14.03.01,01.08.01.01.02.01,2
01.08.01.13.99,01.08.01.20.06,1
01.08.01.13.99,01.08.01.01.02.01,2
01.08.01.13.99,01.08.01.09.16,1
01.08.01.13.01,01.08.01.20.06,2
01.08.01.13.01,01.08.01.01.02.01,2
01.08.01.13.01,01.08.01.09.16,3
01.08.01.17.26,01.08.01.20.06,1
01.08.01.17.26,01.08.01.01.02.01,1
01.08.01.17.26,01.08.01.09.16,1
01.08.01.20.06,01.08.01.09.99,4
01.16.03.01.01,01.16.10.02,2
01.16.05.01.01.01,01.16.10.02,2
01.16.10.02,01.16.07.02.02,2
01.15.01.03.02,01.15.07.04,8
01.15.01.03.02,01.15.05.10,14
01.15.07.04,01.15.05.08,5
01.13.06.99,01.13.11.01.04,4
01.13.04.04.03,01.13.11.01.04,2
01.13.04.04.03,01.13.15.01,2
01.13.08.04,01.13.11.01.04,1
01.13.08.04,01.13.11.03.05.06,14
01.13.11.01.04,01.13.08.04,8
01.13.11.01.04,01.13.14.06,2
01.13.11.01.04,01.13.04.04.01,2
01.04.01.08.02,01.04.02.07,1
01.15.05.01.06.02,01.15.05.07.03,33
01.08.01.30.99,01.08.02.31,1
01.08.01.40,01.08.02.31,1
01.10.04.04.01,01.10.05.02.03.02.01,3
01.10.04.04.01,01.10.05.03.01.03,6
01.10.05.04,01.10.05.02.03.02.01,14
01.10.05.02.03.02.01,01.10.05.04,8
01.10.05.02.03.02.01,01.10.05.02.03.01,19
01.10.05.02.03.02.01,01.10.05.03.01.03,8
01.10.05.02.03.02.01,01.10.05.02.04,18
01.04.01.99,01.03.07.99,1
01.24.01.01,01.24.01.99,31
01.24.01.01,01.24.07.03,7
01.20.99.05.02,01.20.05.01.04,2
01.20.09.02,01.20.07.11.09,25
01.20.09.02,01.20.07.05.03,1
01.02.10.50.20,01.02.11.01.04.20.03,4
01.20.04.01.08,01.20.04.09.05,6
01.20.04.09.05,01.20.04.02.10,18
01.20.04.09.03,01.20.04.02.10,7
01.20.04.06.02.01,01.20.05.01.05.01.01,9
01.20.04.09.02,01.20.05.01.05.01.01,2
01.20.04.09.02,01.20.03.04.04.01,9
01.20.04.09.02,01.20.05.04,7
01.20.05.03.04.02,01.20.04.09.02,17
01.15.01.06.99,01.15.01.01.01.03,2
01.15.01.06.99,01.15.05.02.06.01.06,9
01.15.01.06.99,01.15.05.02.06.03.04,1
01.15.01.06.99,01.15.01.06.07,8
01.15.01.06.99,01.15.05.02.06.02.01,2
01.15.01.06.99,01.15.05.02.06.01.02,1
01.15.01.06.99,01.15.04.01.01,1
01.15.01.01.01.03,01.15.05.02.06.03.04,5
01.15.01.01.01.03,01.15.01.06.07,1
01.15.01.01.01.03,01.15.01.06.06,48
01.15.05.02.06.01.06,01.15.01.06.07,1
01.15.05.02.06.03.04,01.15.01.06.07,1
01.15.05.02.06.03.04,01.15.05.02.06.02.01,2
01.15.05.02.06.03.04,01.15.05.02.06.01.02,3
01.15.01.06.07,01.15.05.02.06.02.01,2
01.15.01.06.07,01.15.05.02.06.01.02,1
01.19.04.06.03,01.19.10.10,2
01.19.10.16.03,01.19.10.10,7
01.19.10.17.01,01.19.10.10,10
01.15.05.04.06.02,01.15.03.15.02,29
01.15.05.15,01.15.03.15.02,8
01.07.09.01.05,01.07.09.01.05,6
01.15.05.09.03,01.15.05.09.01,67
01.20.99.02.01,01.20.03.04.04.01,7
01.20.09.03,01.07.03.03.04.07,13
01.20.09.01.17,01.07.03.03.04.07,2
01.20.09.01.13,01.07.03.03.04.07,1
01.20.09.01.13,01.20.09.01.15,3
01.20.09.01.13,01.20.09.01.06,13
01.20.09.01.09,01.07.03.03.04.07,13
01.20.09.01.05,01.07.03.03.04.07,19
01.20.09.01.99,01.07.03.03.04.07,13
01.20.09.01.08,01.07.03.03.04.07,1
01.07.03.03.04.07,01.20.09.01.05,3
01.07.03.03.04.07,01.20.09.01.09,9
01.07.03.03.04.07,01.20.09.01.99,1
01.07.03.03.04.07,01.20.09.03,12
01.15.05.19,01.15.01.01.01.01,1
01.16.03.03,01.16.28.03,5
01.16.03.03,01.16.07.02.05,1
01.15.05.04.09.02,01.15.05.01.06.02,3
01.15.05.04.09.02,01.15.05.01.05.02.01,2
01.15.05.01.06.02,01.15.06.07,14
01.15.05.01.06.02,01.15.05.01.06.01,30
01.15.05.01.06.02,01.15.05.02.03,8
01.15.05.01.06.02,01.15.01.09,8
01.15.05.01.06.02,01.15.05.04.10,3
01.15.05.01.06.02,01.15.05.09.01,2
01.15.05.01.06.02,01.15.05.04.07.02,16
01.15.05.01.06.02,01.15.05.02.06.04,3
01.15.05.01.06.02,01.15.03.15.01,2
01.15.05.01.06.02,01.15.05.01.05.01.04,4
01.15.05.01.06.02,01.15.02.07,2
01.15.05.01.06.02,01.15.05.13,6
01.15.05.01.05.02.01,01.15.05.02.03,5
01.15.05.01.05.02.01,01.15.01.09,3
01.15.05.01.05.02.01,01.15.05.04.10,1
01.15.05.01.05.02.01,01.15.05.09.01,1
01.15.05.01.05.02.01,01.15.05.04.07.02,5
01.15.05.01.05.02.01,01.15.05.02.06.04,1
01.15.05.01.05.02.01,01.15.03.15.01,1
01.15.05.01.05.02.01,01.15.05.01.05.01.04,4
01.15.05.01.05.02.01,01.15.02.07,1
01.15.05.01.05.02.01,01.15.05.13,1
01.15.06.07,01.15.05.09.01,5
01.15.05.02.03,01.15.05.04.10,6
01.15.01.09,01.15.05.09.01,8
01.15.05.04.10,01.15.05.09.01,1
01.15.05.09.01,01.15.05.04.07.02,5
01.13.10.05,01.13.04.01.01.06,3
01.13.10.05,01.13.01.01.02.03,1
01.15.04.03.03,01.15.05.04.05.02,7
01.15.05.04.07.01,01.15.05.04.05.02,7
01.06.04,01.13.17.99,1
01.06.04,01.13.01.01.04,2
01.11.02.02.06,01.11.04.01.03.01,14
01.11.02.02.06,01.11.01.07.99,1
01.11.02.02.06,01.11.01.04.02,4
01.11.02.02.06,01.11.03.09.01.02,3
01.11.02.01.03,01.11.04.01.04,37
01.11.02.01.03,01.11.04.02.99,7
01.11.02.01.03,01.11.04.01.03.01,6
01.11.02.01.03,01.11.01.04.05.01,21
01.11.02.01.03,01.11.01.07.99,1
01.11.02.01.03,01.11.01.04.02,1
01.11.02.01.03,01.11.03.09.01.02,2
01.11.01.04.11,01.11.02.01.02.02,6
01.11.04.01.04,01.11.01.07.99,6
01.11.04.01.04,01.11.02.01.02.02,1
01.11.02.09.01.02,01.11.01.07.99,2
01.11.02.09.01.02,01.11.01.04.02,8
01.11.02.02.07.02,01.11.04.01.03.01,3
01.11.02.02.07.02,01.11.01.07.99,1
01.11.02.02.07.02,01.11.01.04.02,3
01.11.02.02.07.02,01.11.02.01.02.02,5
01.11.02.09.03,01.11.04.02.99,9
01.11.02.09.03,01.11.04.01.03.01,9
01.11.02.09.03,01.11.01.07.99,2
01.11.02.09.03,01.11.04.01.99,58
01.11.04.02.99,01.11.06.99,7
01.11.04.02.99,01.11.01.07.99,1
01.11.04.02.99,01.11.01.04.02,3
01.11.04.02.99,01.11.02.99,4
01.11.04.02.99,01.11.02.09.01.02,18
01.11.04.02.99,01.11.02.01.02.02,1
01.11.04.02.99,01.11.02.09.03,13
01.11.04.01.03.01,01.11.06.99,17
01.11.04.01.03.01,01.11.01.04.05.01,11
01.11.04.01.03.01,01.11.01.07.99,1
01.11.04.01.03.01,01.11.01.04.02,11
01.11.04.01.03.01,01.11.02.09.01.02,15
01.11.04.01.03.01,01.11.02.01.02.02,1
01.11.06.99,01.11.02.01.02.02,3
01.11.01.04.05.01,01.11.02.02.07.02,9
01.11.01.07.99,01.11.04.06.99,1
01.11.01.07.99,01.11.04.01.04,1
01.11.01.07.99,01.11.02.02.99,3
01.11.01.07.99,01.11.02.02.03.13,2
01.11.01.07.99,01.11.02.02.07.02,1
01.11.01.07.99,01.11.01.04.02,1
01.11.01.07.99,01.11.04.02.99,1
01.11.01.07.99,01.11.02.09.01.01.02,9
01.11.01.07.99,01.11.02.09.01.02,5
01.11.04.99,01.11.01.10,8
01.15.05.09.01,01.15.05.17.01,19
01.20.03.04.05.01,01.20.07.05.03,1
01.20.03.04.05.01,01.20.08,3
01.20.03.04.05.01,01.20.07.11.04.01,2
01.20.03.04.05.01,01.20.09.02,26
01.20.07.05.03,01.20.03.04.03.02,1
01.20.07.05.03,01.20.08,2
01.20.07.05.03,01.20.03.04.02.01,1
01.20.07.05.03,01.20.07.11.04.01,1
01.20.07.05.03,01.20.09.02,3
01.20.07.05.03,01.20.07.11.03.01.02,1
01.20.03.04.03.02,01.20.08,1
01.20.03.04.03.02,01.20.07.11.04.01,1
01.20.08,01.20.03.04.02.01,1
01.20.08,01.20.07.11.04.01,2
01.20.08,01.20.09.02,260
01.20.08,01.20.07.11.03.01.02,3
01.20.03.04.02.01,01.20.07.11.04.01,1
01.20.03.04.02.01,01.20.09.02,3
01.20.07.11.04.01,01.20.09.02,8
01.02.10.43.616.02,01.02.10.43.954,1
01.01.07.02.06,01.01.10.07.08,1
